n,days,seed_inst,coverage_ratio,seed_sa,z_greedy,feas_greedy,z_sa,feas_sa,t_sa,sa_iters,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref
8,14,0,1.1,26,7.618230718103318,False,0.4728487886382623,True,1.8173482499987585,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,27,7.618230718103318,False,0.4847535505430242,True,1.7630316249997122,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,16.0,1.0,1.0,0.0,0.0
8,14,0,1.1,28,7.618230718103318,False,0.4728487886382623,True,1.7710542089916999,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,0,1.1,29,7.618230718103318,False,0.4728487886382623,True,1.7602417080051964,100000,1.0,3.0,101.25,6.0,1.0,13.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,0,20.150806789857157,False,0.4728487886382623,True,1.8772044999932405,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,1,20.150806789857157,False,0.4728487886382623,True,1.8574258330045268,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,2,20.150806789857157,False,0.4728487886382623,True,1.7249682499968912,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,3,20.150806789857157,False,0.4728487886382623,True,1.6841067500063218,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,4,20.150806789857157,False,0.4728487886382623,True,1.812163208000129,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,5,20.150806789857157,False,0.4728487886382623,True,1.6619978330127196,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,6,20.150806789857157,False,0.4728487886382623,True,1.7939119579968974,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,7,20.150806789857157,False,0.4728487886382623,True,1.8388304589898326,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,8,20.150806789857157,False,0.4728487886382623,True,1.755868874999578,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,9,20.150806789857157,False,0.4728487886382623,True,1.6951658750040224,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,10,20.150806789857157,False,0.4728487886382623,True,1.6466667500062613,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,11,20.150806789857157,False,0.4728487886382623,True,1.638764250004897,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,12,20.150806789857157,False,0.4728487886382623,True,1.6390234999998938,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,13,20.150806789857157,False,0.4728487886382623,True,1.660665584000526,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,14,20.150806789857157,False,0.4728487886382623,True,1.6440356249950128,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,15,20.150806789857157,False,0.5752297410192146,True,1.6697000409913016,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,25.5,1.0,1.0,0.0,0.0
8,14,1,1.1,16,20.150806789857157,False,0.4728487886382623,True,1.6515272079996066,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,17,20.150806789857157,False,0.4728487886382623,True,1.646463874989422,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,18,20.150806789857157,False,0.4728487886382623,True,1.9318585000000894,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,19,20.150806789857157,False,0.6950710108604845,True,1.7971454579965211,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,2.0,0.0,0.0
8,14,1,1.1,20,20.150806789857157,False,0.4728487886382623,True,1.7204027499974472,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,21,20.150806789857157,False,0.4728487886382623,True,1.6524016249895794,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,22,20.150806789857157,False,0.4728487886382623,True,1.6558780420018593,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,23,20.150806789857157,False,0.4728487886382623,True,1.6484990419994574,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,24,20.150806789857157,False,0.4728487886382623,True,1.648311625001952,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
8,14,1,1.1,25,20.150806789857157,False,0.4728487886382623,True,1.651198708001175,100000,3.0,2.0,130.75,6.0,2.0,20.0,0.0,0.0,4.0,14.75,1.0,1.0,0.0,0.0
