n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
40,14,0,1.1,bounded,hard,37.125034991246075,False,3.02460183299263,0.5296656316520368,True,13.613591208006255,max_iterations,361600,0.3898764191738521,False,0.07638393518399952,0.36009612404190683,True,2470,4218,300.08833620802034,0.36009612404190683,36.764938867204165,102.09756898945567,0.16956950761013,0.47090067426106497,,6.0,11.0,411.0000000000001,5.0,1.0,0.0,0.0,0.0,12.0,156.99999999999994,1.0,1.0,1.0,0.0,0.0,12.0,50.40000000000009,1.0,1.0,0.0,0.0
40,14,1,1.1,bounded,hard,31.289492754091757,False,3.0926972500164993,0.6471599666834001,True,12.868353416997707,max_iterations,360000,0.39768628247287385,False,0.06875067759769454,0.37034505354347647,True,2466,4189,300.0791612499743,0.37034505354347647,30.91914770054828,83.48740560920855,0.2768149131399237,0.7474513578387166,,5.0,9.0,362.0,5.0,2.0,6.0,0.0,0.0,16.0,238.0,1.0,1.0,0.0,0.0,0.0,12.0,56.0,1.0,1.0,0.0,0.0
40,14,2,1.1,bounded,hard,1.3435677385407279,False,3.3264685419853777,0.7295957540101808,True,13.5860173330002,max_iterations,363200,0.40527814181522753,False,0.07633772361090557,0.3743399658281942,True,2474,4247,300.08150537501206,0.3743399658281942,0.9692277727125337,2.5891645594618855,0.35525578818198666,0.9490191286308811,,0.0,12.0,406.34999999999997,5.0,2.0,6.0,0.0,0.0,15.0,205.75000000000006,3.0,1.0,8.0,0.0,0.0,12.0,61.24999999999994,1.0,1.0,0.0,0.0
40,14,3,1.1,bounded,hard,1.1407328143966646,False,3.0632465000089724,0.5750621769401639,True,14.649177583982237,max_iterations,363200,0.42892984406158274,False,0.17582937392434614,0.35351137812276723,True,2474,4207,300.0957385840011,0.35351137812276723,0.7872214362738974,2.2268630799218903,0.2215507988173967,0.6267147609049706,,0.0,12.0,417.09999999999997,5.0,1.0,11.0,0.0,0.0,14.0,180.50000000000006,1.0,1.0,0.0,0.0,0.0,12.0,77.04999999999998,1.0,1.0,0.0,0.0
40,14,4,1.1,bounded,hard,13.555084986362207,False,4.508117999997921,0.5674470504448592,True,17.320808541990118,max_iterations,356800,0.42906012930776616,False,0.1349200760816408,0.3711713040179636,True,2458,4181,300.1286777500063,0.3711713040179636,13.183913682344244,35.51975473218744,0.1962757464268956,0.5288009722254725,,2.0,10.0,495.95000000000005,6.0,2.0,37.0,0.0,0.0,12.0,176.49999999999994,1.0,1.0,4.0,0.0,0.0,12.0,76.65,1.0,1.0,0.0,0.0
20,21,0,1.1,bounded,hard,13.201319249551034,False,0.723307542008115,0.5378847107458984,True,7.119594874995528,max_iterations,273600,0.3000857534551499,False,0.18643541716364023,0.24413914082487354,True,1890,3191,300.6830815410067,0.24413914082487354,12.95718010872616,53.07293236532128,0.29374556992102485,1.2031891688016347,,2.0,9.0,271.9,8.0,2.0,12.0,0.0,0.0,11.0,82.39999999999998,1.0,2.0,0.0,0.0,0.0,11.0,38.900000000000006,1.0,1.0,0.0,0.0
20,21,1,1.1,bounded,hard,19.278969167171937,False,1.3093474589986727,0.622829120030449,True,9.043505375011591,max_iterations,268800,0.31112763386751996,False,0.11643718979166517,0.27490081579126446,True,1878,3131,300.5693279999832,0.27490081579126446,19.004068351380674,69.1306364321985,0.3479283042391845,1.2656503155064143,,3.0,9.0,304.9,8.0,2.0,11.0,0.0,0.0,13.0,100.69999999999996,2.0,2.0,4.0,0.0,0.0,12.0,42.900000000000006,1.0,1.0,0.0,0.0
20,21,2,1.1,bounded,hard,18.974720004050337,False,0.9167194999754429,0.3398482655827677,True,8.244670750020305,max_iterations,273600,0.2691497988025293,False,0.08392428148610588,0.24656156754215736,True,1890,3191,300.22272158399574,0.24656156754215736,18.728158436508178,75.95733034632828,0.09328669804061035,0.3783505230378619,,3.0,6.0,204.3,7.0,2.0,0.0,0.0,0.0,9.0,69.79999999999995,1.0,1.0,0.0,0.0,0.0,9.0,28.30000000000001,1.0,1.0,0.0,0.0
20,21,3,1.1,bounded,hard,13.257347721924216,False,1.2918245410255622,0.6050918202668467,True,11.923797416995512,max_iterations,268800,0.31047962352488334,False,0.2374434361593054,0.23675826948872156,True,1878,3116,300.0885512920213,0.23675826948872156,13.020589452435495,54.99528899477683,0.36833355077812513,1.5557367925248813,,2.0,9.0,291.3,8.0,2.0,18.0,0.0,0.0,11.0,93.2999999999999,2.0,2.0,0.0,0.0,0.0,11.0,43.0,1.0,1.0,0.0,0.0
20,21,4,1.1,bounded,hard,1.366473948966739,False,1.178388083993923,0.3686491535253992,True,8.130789666000055,max_iterations,273600,0.2833011681774138,False,0.17320660467739699,0.23423153473626368,True,1890,3176,301.3322158329829,0.23423153473626368,1.1322424142304754,4.8338598622313595,0.1344176187891355,0.5738664477457526,,0.0,11.0,298.0,8.0,3.0,18.0,0.0,0.0,11.0,78.99999999999997,1.0,1.0,0.0,0.0,0.0,11.0,32.39999999999998,1.0,1.0,0.0,0.0
