n,days,seed_inst,coverage_ratio,seed_sa,z_greedy,feas_greedy,z_sa,feas_sa,t_sa,sa_iters,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref
40,28,4,1.1,25,49.328168949825674,False,0.5535553502135625,True,88.89444316597655,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,24.0,371.8000000000002,2.0,2.0,0.0,0.0
40,28,4,1.1,26,49.328168949825674,False,0.6425681906779244,True,85.88790487503866,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,24.0,462.5000000000001,3.0,2.0,5.0,0.0
40,28,4,1.1,27,49.328168949825674,False,0.6279673245180393,True,85.24857795896241,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,26.0,436.9500000000001,3.0,2.0,3.0,0.0
40,28,4,1.1,28,49.328168949825674,False,0.6283895339128555,True,96.75630445795832,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,27.0,388.60000000000014,4.0,2.0,0.0,0.0
40,28,4,1.1,29,49.328168949825674,False,0.6066346244066453,True,84.85212233301718,713600,8.0,22.0,942.8,11.0,3.0,57.0,0.0,0.0,26.0,404.0500000000001,3.0,2.0,0.0,0.0
40,28,1,1.1,0,43.08796558110951,False,0.6146743001805409,True,56.09316620900063,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,473.0,2.0,2.0,0.0,0.0
40,28,1,1.1,1,43.08796558110951,False,0.6238052971700362,True,61.05119487497723,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,438.0,3.0,2.0,2.0,0.0
40,28,1,1.1,2,43.08796558110951,False,0.6429679574264464,True,76.2942723329761,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,28.0,466.0,3.0,2.0,0.0,0.0
40,28,1,1.1,3,43.08796558110951,False,0.6516218035802925,True,83.9959655830171,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,24.0,486.0,3.0,2.0,0.0,0.0
40,28,1,1.1,4,43.08796558110951,False,0.5753253418472075,True,90.18248574994504,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,409.0,2.0,2.0,5.0,0.0
40,28,1,1.1,5,43.08796558110951,False,0.6556041753751644,True,92.23190762498416,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,25.0,490.0,3.0,2.0,4.0,0.0
40,28,1,1.1,6,43.08796558110951,False,0.6190416753751644,True,93.73387529200409,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,25.0,429.0,3.0,2.0,16.0,0.0
40,28,1,1.1,7,43.08796558110951,False,0.6458866272982413,True,92.4133381670108,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,27.0,472.0,3.0,2.0,1.0,0.0
40,28,1,1.1,8,43.08796558110951,False,0.6375108386420794,True,87.86204308399465,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,27.0,508.0,2.0,2.0,0.0,0.0
40,28,1,1.1,9,43.08796558110951,False,0.6036025854369511,True,91.38110100000631,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,28.0,452.0,2.0,2.0,1.0,0.0
40,28,1,1.1,10,43.08796558110951,False,0.6163333420418311,True,90.61657970800297,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,25.0,428.0,3.0,2.0,0.0,0.0
40,28,1,1.1,11,43.08796558110951,False,0.530299300180541,True,86.45079758303473,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,338.0,2.0,2.0,0.0,0.0
40,28,1,1.1,12,43.08796558110951,False,0.6478577811443952,True,83.7371694589965,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,31.0,469.0,3.0,2.0,1.0,0.0
40,28,1,1.1,13,43.08796558110951,False,0.6255500888367028,True,95.0601182919927,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,441.0,3.0,2.0,1.0,0.0
40,28,1,1.1,14,43.08796558110951,False,0.5674827937702844,True,99.44598866597516,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,28.0,394.0,2.0,2.0,2.0,0.0
40,28,1,1.1,15,43.08796558110951,False,0.6321262232574639,True,95.71648533298867,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,24.0,504.0,2.0,2.0,0.0,0.0
40,28,1,1.1,16,43.08796558110951,False,0.6278533867190025,True,88.33566233300371,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,25.0,495.0,2.0,2.0,3.0,0.0
40,28,1,1.1,17,43.08796558110951,False,0.6494823805033695,True,87.96064283302985,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,477.0,3.0,2.0,12.0,0.0
40,28,1,1.1,18,43.08796558110951,False,0.6017756623600281,True,91.8259980409639,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,30.0,446.0,2.0,2.0,1.0,0.0
40,28,1,1.1,19,43.08796558110951,False,0.5591698805033695,True,92.65970983396983,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,335.0,3.0,2.0,0.0,0.0
40,28,1,1.1,20,43.08796558110951,False,0.5958866272982413,True,89.89929591701366,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,27.0,392.0,3.0,2.0,1.0,0.0
40,28,1,1.1,21,43.08796558110951,False,0.641381418964908,True,88.72009712498402,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,27.0,465.0,3.0,2.0,0.0,0.0
40,28,1,1.1,22,43.08796558110951,False,0.5897544283856692,True,95.05465975002153,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,25.0,433.0,2.0,2.0,8.0,0.0
40,28,1,1.1,23,43.08796558110951,False,0.6285448805033695,True,88.78276066697435,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,26.0,446.0,3.0,2.0,0.0,0.0
40,28,1,1.1,24,43.08796558110951,False,0.609001223257464,True,86.04754670802504,720000,7.0,24.0,683.0,9.0,3.0,4.0,0.0,0.0,24.0,467.0,2.0,2.0,0.0,0.0
