n,days,seed,coverage_ratio,regime,coverage_mode,z_greedy,feas_greedy,t_greedy,z_sa,feas_sa,t_sa,sa_stop,sa_iters,z_exact,proven,gap_solver,dual_bound,match,n_vars,n_cons,t_exact,ref,dz_greedy,gap_greedy,dz_sa,gap_sa,exact_error,greedy_p_cob,greedy_p_erg,greedy_p_car,greedy_p_gua,greedy_p_cal,greedy_p_over,greedy_pref,sa_p_cob,sa_p_erg,sa_p_car,sa_p_gua,sa_p_cal,sa_p_over,sa_pref,exact_p_cob,exact_p_erg,exact_p_car,exact_p_gua,exact_p_cal,exact_p_over,exact_pref
8,14,0,1.5,certified,hard,31.46570029753195,True,0.051891957999032456,0.5245897503902058,True,1.9599882080001407,max_iterations,100000,0.45482483416252073,True,0.0,0.45482479955936456,True,502,872,0.18469004200596828,0.45482483416252073,31.01087546336943,68.18201895345152,0.0697649162276851,0.1533885377128644,,5.0,4.0,135.0,6.0,2.0,40.0,0.0,0.0,4.0,25.0,1.0,1.0,77.0,0.0,0.0,4.0,28.0,0.0,1.0,60.0,0.0
8,14,1,1.5,certified,soft,67.2228799859183,False,0.04135254200082272,6.789308741598458,True,1.773836125001253,max_iterations,100000,6.419626708245902,True,0.0,6.419626708245902,True,518,844,0.14140729200153146,6.419626708245902,60.8032532776724,9.471462444938059,0.36968203335255634,0.05758621959711552,,11.0,0.0,215.0,4.0,0.5,0.0,0.0,1.0,3.0,23.5,2.0,2.0,74.0,0.0,1.0,3.0,12.25,0.0,1.0,81.0,0.0
8,14,2,1.5,certified,hard,31.439621922990785,True,0.03885616600018693,0.44180735153256706,True,1.8050607080003829,max_iterations,100000,0.44180735153256706,True,3.970547177950716e-08,0.44180733399039773,True,510,880,1.3251478750025854,0.44180735153256706,30.997814571458218,70.16138247571298,0.0,0.0,,5.0,4.0,126.5,6.0,2.0,34.0,0.0,0.0,4.0,26.25,0.0,1.0,53.0,0.0,0.0,4.0,26.25,0.0,1.0,53.0,0.0
8,14,3,1.5,certified,hard,43.52547952638767,False,0.06713699999818346,0.5469778100916983,True,2.0197756249981467,max_iterations,100000,0.45482483416252073,True,5.2833198809700385e-08,0.45482481013266984,True,498,853,0.4333582920007757,0.45482483416252073,43.07065469222515,94.6972360722829,0.0921529759291776,0.20261201457669073,,7.0,2.0,158.0,6.0,2.0,20.0,0.0,0.0,4.0,31.0,1.0,1.0,77.0,0.0,0.0,4.0,28.0,0.0,1.0,60.0,0.0
8,14,4,1.5,certified,hard,61.81324658901518,False,0.04913645899796393,0.52134471816942,True,1.891724458000681,max_iterations,100000,0.41479522090988624,True,4.360133313339515e-08,0.4147952028242616,True,498,863,0.14014262500131736,0.41479522090988624,61.39845136810529,148.02111565659536,0.10654949725953372,0.25687252863186066,,10.0,2.0,212.5,6.0,2.0,20.0,0.0,0.0,4.0,27.5,1.0,1.0,63.0,0.0,0.0,4.0,21.0,0.0,1.0,46.0,0.0
8,21,0,1.1,bounded,hard,0.9195924691206989,True,0.07143966600415297,0.46477199612139664,True,2.073199874997954,max_iterations,110400,0.3076681709847846,False,0.18340255761039972,0.25124104153086124,True,762,1301,300.59807100000035,0.25124104153086124,0.6683514275898377,2.6602000354617243,0.2135309545905354,0.8499047499940661,,0.0,6.0,54.5,7.0,2.0,6.0,0.0,0.0,6.0,35.75,2.0,1.0,0.0,0.0,0.0,6.0,7.0,2.0,1.0,0.0,0.0
8,21,1,1.1,bounded,hard,25.503661616161615,False,0.0713031669947668,0.46725589225589226,True,1.919671625000774,max_iterations,105600,0.46725589225589226,False,0.14267699513601093,0.4005892255892258,True,750,1256,300.42205866600125,0.4005892255892258,25.10307239057239,62.66537087623447,0.06666666666666649,0.166421517125446,,4.0,3.0,128.0,7.0,3.0,0.0,0.0,0.0,6.0,16.0,1.0,2.0,0.0,0.0,0.0,6.0,16.0,1.0,2.0,0.0,0.0
8,21,2,1.1,bounded,hard,1.0057014167782239,True,0.08206854200398084,0.37523650156180277,True,2.1339867920032702,max_iterations,115200,0.31632083891120033,False,0.060393221994087386,0.29721720426548015,True,774,1316,300.70649545799824,0.29721720426548015,0.7084842125127437,2.3837254450449374,0.07801929729632262,0.2624992637594232,,0.0,6.0,63.5,7.0,2.0,6.0,0.0,0.0,6.0,17.5,2.0,1.0,0.0,0.0,0.0,6.0,21.0,0.0,1.0,0.0,0.0
8,21,3,1.1,bounded,hard,7.714222110941052,False,0.06811495900183218,0.42921514793038706,True,1.9203071250012727,max_iterations,108000,0.42921514793038706,False,0.07067441751764376,0.39888061736065755,True,756,1271,300.23429229199974,0.39888061736065755,7.315341493580394,18.33967652272773,0.030334530569729512,0.07604914666059548,,1.0,6.0,184.5,8.0,3.0,60.0,0.0,0.0,6.0,11.25,1.0,2.0,0.0,0.0,0.0,6.0,11.25,1.0,2.0,0.0,0.0
8,21,4,1.1,bounded,hard,19.126322758098745,False,0.09322249999968335,0.4764501709718617,True,2.110603875000379,max_iterations,108000,0.42921514793038706,False,0.06533887953511065,0.4011707110851187,True,756,1286,300.14361108299636,0.4011707110851187,18.725152047013626,46.67626905355163,0.075279459886743,0.1876494415136167,,3.0,3.0,107.75,7.0,2.0,6.0,0.0,0.0,6.0,21.5,1.0,2.0,0.0,0.0,0.0,6.0,11.25,1.0,2.0,0.0,0.0
